,dia,descricao
30,27/08/2021 09:00,"Solenidade de transmissão de comando da Secretaria de Estado de Polícia Militar.
Local: Academia de Polícia Militar Dom João - Av. Marechal Fontenele, 2.906, Jardim Sulacap, Rio de Janeiro."
31,26/08/2021 09:00,"Abertura do Fórum Regional do Turismo Fluminense – Edição Vale do Café, em Vassouras.
Local: Centro de Convenções General Sombra – Av. Otávio Gomes, 500, Centro de Vassouras."
32,25/08/2021 11:00,"Lançamento do novo Sistema Estadual de Licenciamento Ambiental do Inea.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras."
33,24/08/2021 18:00,"Entrega de cheque da concessão da Cedae para a Prefeitura de Saquarema.
Local: Câmara de Vereadores - Rua Coronel Madureira, 77 - Saquarema."
34,24/08/2021 16:00,"Entrega de cheque da concessão da Cedae para a Prefeitura de Maricá.
Local: Casa de Cultura - Rua Álvares de Castro, 154 - Maricá."
35,24/08/2021 14:00,"Entrega de cheque da concessão da Cedae para a Prefeitura de Rio Bonito.
Local: Praça Fonseca Portela - Rua Getúlio Vargas, 219 - Rio Bonito."
36,24/08/2021 09:00,"Entrega de cheque da concessão da Cedae para a Prefeitura de São Gonçalo.
Local: Rua Ponta Grossa com Rua Sérgio Martins, s/nº, Boa Vista."
37,23/08/2021 10:00,"Fórum 'O Rio na Direção Certa'.
Local: Fecomércio - Rua Marquês de Abrantes, 99 - Flamengo, Rio de Janeiro."
38,20/08/2021 10:00,"Evento ""Hub Econômico - Reconectando o Rio com o Brasil e o Mundo"", da Firjan.
Local: pelo Teams, com transmissão pelo YouTube."
39,19/08/2021 10:00,Reuniões em Brasília.
40,18/08/2021 12:00,"Inauguração da 36ª unidade da companhia de alimentos BRF no país.
Local: Estrada Santa Alice, 54 - Seropédica."
41,18/08/2021 10:00,"Debate na Alerj sobre o futuro do Palácio Capanema.
Local: Palácio Tiradentes, Centro do Rio."
42,17/08/2021 08:00,"Despachos internos.
Palácio Guanabara."
43,16/08/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
44,13/08/2021 09:30,"Lançamento do PactoRJ, pacote de investimentos para a retomada social e econômica do Estado do Rio.
Local: Centro de Convenções SulAmérica - Av. Paulo de Frontin, 1 - Cidade Nova, Rio de Janeiro."
45,12/08/2021 10:30,"Assinatura do contrato de saneamento público com a concessionária Iguá.
Local: ETE Barra - Av. Ayrton Senna, 1791 - Jacarepaguá."
46,11/08/2021 10:30,"Assinatura do contrato de saneamento público com a Águas do Rio.
Local: Pão de Açúcar - Avenida Pasteur, 520 - Praia Vermelha/Urca."
47,10/08/2021 17:30,"Entrega de cheques do Programa de Apoio aos Hospitais Integrantes SUS da Região Metropolitana
Local: Rua 20 com Joaquim de Oliveira (ponto de encontro em frente ao Vera Gol) - Itaboraí"
48,10/08/2021 11:00,"Entrega de cheques do Programa de Apoio aos Hospitais Integrantes SUS da Região Metropolitana
Local: Restaurante do Povo - Rua Frei Fidélis, 51 - Centro - Duque de Caxias"
49,09/08/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
50,07/08/2021 14:00,"14h – Visita ao Porto do Açu.
Local: Prumo Logística – Fazenda Saco Dantas, s/nº - Porto do Açu."
51,07/08/2021 10:00,"Fórum regional de lideranças femininas.
Local: Rodovia Afonso Celso, s/nº - São Francisco de Itabapoana."
52,06/08/2021 17:00,"17h – Fórum de prefeitos da Região Norte Fluminense.
Local: Centro de Convenções da Uenf – Av. Alberto Lamego, 2.000 – Parque Califórnia – Campos dos Goytacazes."
53,06/08/2021 10:00,"Missa do padroeiro da cidade de Campos dos Goytacazes.
Local: Catedral Santíssimo Salvador – Rua Paul Percy Harris – Centro – Campos dos Goytacazes.
Após a missa, o governador concederá entrevista."
54,05/08/2021 10:30,"Lançamento do Programa Limpa Rio no Canal do Capote.
Local: Rua Vitória Régia, próxima ao trevo do Bairro Aroeira - Macaé."
55,19/07/2021 11:30,"Lançamento do Pré-vestibular Expresso
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras."
56,14/07/2021 11:30,"Lançamento do programa Laço - Maternidade Segura
Palácio Guanabara"
57,13/07/2021 12:00,"Coletiva sobre antecipação de segunda dose da vacina AstraZeneca
Local: Palácio Guanabara"
58,13/07/2021 09:00,"Despachos internos
Local: Palácio Laranjeiras"
59,12/07/2021 09:00,"Despachos internos
Local: Palácio Laranjeiras"
60,06/07/2021 20:00,"Reunião do Conselho de Segurança
Local: Hotel Fairmont - Av. Atlântica, 4.240 - Copacabana"
61,06/07/2021 17:00,"Inauguração da Casa do Trabalhador
Local: Bairro São Pedro - Teresópolis"
62,06/07/2021 16:00,"Inauguração da sede do Parque dos Três Picos
Local: Estrada Rio-Bahia, KM 836 - Vale da Revolta - Teresópolis"
63,06/07/2021 14:00,"Fórum de prefeitos da Região Serrana
Local: Hotel Sesc Alpina - Rua Cândido Portinari, 837 - Golfe - Teresópolis"
64,06/07/2021 12:30,"Almoço com empresários da Região Serrana
Local: Hotel Sesc Alpina - Rua Cândido Portinari, 837 - Golfe - Teresópolis"
65,06/07/2021 11:30,"Visita ao Hospital Central de Teresópolis
Local: Av. Delfim Moreira, 2.211 - Vale do Paraíso - Teresópolis"
66,06/07/2021 09:30,"Comemoração dos 130 anos de Teresópolis
Local: Escola Municipal Francisco Maria Dália - Praça em frente à escola - Estrada Teresópolis-Friburgo, 28 - Bonsucesso - Teresópolis"
67,06/07/2021 08:00,"Governador recebe a primeira dose da vacina contra Covid
Local: Quartel do Corpo de Bombeiros - Copacabana"
68,06/07/2021 07:30,"Comemoração do aniversári ode Copacabana
Local: Em frente ao MIS - Av. Atlântica, 3.432 - Copacabana"
69,02/07/2021 09:00,"Lançamento do selo Ande de Táxi Legal
Local: Rua Padre Manuel da Nóbrega, 539, Piedade (sede do Ipem)"
70,01/07/2021 08:00,"Chegada ao Rio do voo inaugural da companhia aérea ITA
Local: Salão Nobre do Aeroporto Internacional Tom Jobim/RIOGaleão"
71,30/06/2021 10:00,"Reunião com o ministro da Infraestrutura, Tarcísio de Freitas, para debater a situação dos aeroportos Santos Dumont e RIOgaleão.
Local: Esplanada dos Ministérios, em Brasília."
72,29/06/2021 16:00,"Reunião com o ministro de Minas e Energia, Bento Albuquerque.
Local: Esplanada dos Ministérios, Brasília."
73,28/06/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
74,25/06/2021 15:00,"Inauguração da Casa do Direito da Mulher Daniella Perez.
Local: Av. General Ferreira do Amaral - Centro - Miguel Pereira."
75,25/06/2021 11:00,"Inauguração do Espaço do Agricultor em Miguel Pereira.
Local: Rodovia Estadual Ary Schiavo - RJ 125 - Miguel Pereira."
76,24/06/2021 11:00,Entrevista para a Rádio 93 FM.
77,24/06/2021 09:00,"Encontro técnico do Conselho Nacional do Ministério Público para discussões sobre Segurança Pública.
Local: Ministério Público do Rio de Janeiro - Avenida Marechal Câmara, 370, Centro."
78,23/06/2021 09:00,Reuniões em Brasília.
79,22/06/2021 16:00,Reunião virtual do Fórum Nacional de Governadores.
80,22/06/2021 09:00,"Prêmio Testemunho Laical.
Local: Catedral Metropolitana Nossa Senhora Aparecida - Brasília."
81,21/06/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
82,17/06/2021 12:30,"Almoço oferecido pela Associação de Supermercados do Rio de Janeiro (Asserj).
Local: Hotel Windsor Marapendi - Av. Lúcio Costa, 5.400 - Barra da Tijuca, Rio."
83,16/06/2021 15:00,"Reunião com taxistas para debater a lei que vai permitir transporte intermunicipal de passageiros.
Local: Palácio Guanabara."
84,16/06/2021 13:00,"Apresentação do Plano de Recuperação Lagunas da Barra e Jacarepaguá.
Local: Av. Armando Lombardi, 30 - Barra da Tijuca, Rio de Janeiro."
85,16/06/2021 09:00,"Apresentação aos municípios do resultado da concessão de saneamento.
Local: Hotel Windsor Marapendi - Avenida Lúcio Costa, 5.400 - Barra da Tijuca."
86,15/06/2021 09:00,"Lançamento do Programa Capacita RJ.
Local: Palácio Guanabara."
87,14/06/2021 11:00,"Lançamento do programa Bairro Seguro.
Local: Quartel General da Polícia Militar (Rua Evaristo da Veiga, 78, Centro do Rio)."
88,14/06/2021 10:00,"Assinatura de acordo de cooperação para fiscalizar o pagamento de royalties e Participações Especiais.
Local: Palácio Tiradentes, sede da Alerj, à Rua Primeiro de Março, s/nº, Praça 15."
89,12/06/2021 09:00,"Lançamento do Programa Passaporte Cultural RJ.
Local: Museu do Amanhã – Praça Mauá, 1 – Centro do Rio."
90,11/06/2021 12:00,"Almoço 'O Brasil de Ideias: Turismo Nacional e Retomada Econômica dos Estados'
Local: Hotel Copacabana Palace"
91,11/06/2021 09:00,"Encontro com o presidente da Firjan, Eduardo Eugenio Gouvea Vieira.
Local: Palácio Guanabara."
92,10/06/2021 11:00,"Fórum Estadual de Secretários Municipais de Agricultura.
Local: Palácio Guanabara."
93,09/06/2021 09:00,Despachos internos.
94,08/06/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
95,07/06/2021 11:00,"Cerimônia de entrega de 80 novas viaturas para o Corpo de Bombeiros.
Local: Complexo de Ensino e Instrução Coronel Sarmento – Av. Brasil, 23.800 - Guadalupe, Rio de Janeiro."
96,05/06/2021 10:00,"Distribuição dos cartões do SuperaRJ
Local: Quadras de escolas de samba"
97,02/06/2021 10:00,"Lançamento do programa SuperaRJ.
Local:Acadêmicos do Salgueiro - Rua Silva Teles, 104 - Andaraí, Rio de Janeiro."
98,01/06/2021 10:00,"Inauguração da Operação Segurança Presente em Japeri.
Local: Estrada Vereador Francisco Costa Filho, 1.993 - Santa Inês, Japeri."
99,31/05/2021 16:00,"Inauguração do ambulatório pós-Covid do Hospital Pedro Ernesto.
Local: Hospital Pedro Ernesto - Boulevard 28 de Setembro, 125, Vila Isabel, Rio de Janeiro."
100,31/05/2021 10:00,"Lançamento do programa Rio+Alfabetizado.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/nº, Laranjeiras, Rio de Janeiro."
101,28/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
102,27/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
103,26/05/2021 09:00,Reuniões em Brasília.
104,25/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
105,24/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
106,20/05/2021 12:00,"Painel Digital 'Rio, a retomada', da Bandnews.
Local: Hotel Fairmont, Copacabana."
107,18/05/2021 17:00,"Anúncio de investimentos para o combate à violência e à exploração sexual de crianças e adolescentes.
Local: Palácio Guanabara."
108,18/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
109,17/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
110,15/05/2021 10:00,"Inauguração da Faetec Cachoeiras de Macacu
Rua Delfim Sarmento, 212 - Centro - Cachoeiras de Macacu/RJ"
111,14/05/2021 10:00,"Inauguração do primeiro posto do Detran no país exclusivo para pessoas com deficiência.
Local: Avenida Francisco Bicalho, em São Cristóvão (o acesso será pela Rua Idalina Senra, 35)."
112,13/05/2021 14:30,"Assinatura do termo de cessão de terreno na área da Leopoldina.
Local: Salão Nobre do Tribunal de Justiça - 10º andar do Fórum Central - Centro do Rio."
113,13/05/2021 08:00,"Despachos internos.
Local: Palácio Guanabara."
114,12/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
115,11/05/2021 11:00,"Inauguração do novo posto do Detran em Copacabana
Rua Barata Ribeiro, número 370"
116,11/05/2021 09:00,"Operação Tijuca Presente amplia área de atuação
6° Batalhão de Polícia Militar - R. Barão de Mesquita, 625 - Andaraí"
117,10/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
118,07/05/2021 10:00,"Inauguração de unidade do projeto RJ Alimenta em Campos dos Goytacazes.
Local: Rua Lacerda Sobrinho, 72, Centro de Campos dos Goytacazes."
119,06/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
120,05/05/2021 19:00,Live com Fecomercio e Aderj.
121,05/05/2021 16:00,"Encontro com presidente da República, Jair Bolsonaro."
122,05/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
123,04/05/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
124,03/05/2021 09:00,"Despachos internos.
Local: Palácio Guanabara."
125,01/05/2021 14:00,"Pronunciamento do governador no Palácio Guanabara
Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras

Credenciamento: É preciso confirmar presença enviando nome do veículo e do profissional pelo e-mail governo.estadorj@imprensagovr.com.br"
126,01/05/2021 10:00,"Cerimônia de Posse
Local: Alerj - Rua Primeiro de Março, s/n° - Centro do Rio

Imprensa deverá se credenciar para o evento no Palácio Guanabara através do e-mail governo.estadorj@imprensagovrj.com.br"
127,30/04/2021 14:00,"Leilão de concessão dos serviços de saneamento
Local: B3 (Bolsa de Valores), em São Paulo"
128,28/04/2021 19:00,"Encontro no Banco BRB
Centro Empresarial CNC - Brasília"
129,28/04/2021 11:30,"Reunião com o secretário especial de Cultura, Mário Frias
Local: Esplanada dos Ministérios - Brasília"
130,28/04/2021 09:00,"Participação, por videoconferência, do II Fórum Regional da Rede + Brasil"
131,27/04/2021 11:30,"Assinatura de Decreto sobre o RAS para servidores do Degase
Local: Palácio Guanabara"
132,26/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
133,23/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
134,22/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
135,21/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
136,20/04/2021 11:00,"Assinatura da resolução que garante progressão de carreira a servidores da Seap
Local: Palácio Guanabara"
137,19/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
138,16/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
139,15/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
140,14/04/2021 16:30,"Reunião com presidente da República
Local: Palácio do Planalto"
141,13/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
142,12/04/2021 10:00,"Assinatura de convênio entre DER e prefeituras
Local: Palácio Guanabara"
143,10/04/2021 11:00,"Inauguração de unidade da Faetec em Areal e assinatura de convênio do DER com prefeitura
Local: Rua Nelson de Melo, 100, Centro - Areal"
144,09/04/2021 14:00,"Assinatura de convênio entre DER e prefeituras
Local: Palácio Guanabara"
145,09/04/2021 10:00,"Assinatura de convênio entre DER e prefeituras
Local: Palácio Guanabara"
146,08/04/2021 16:00,"Posse de novos dirigentes do TRF-2
Local: Plenário do TRF - Rua Acre, 80 - Centro"
147,08/04/2021 14:00,"Assinatura de convênio entre DER e prefeituras
Local: Palácio Guanabara"
148,08/04/2021 11:00,"Assinatura de convênio entre DER e prefeituras
Local: Palácio Guanabara"
149,07/04/2021 14:30,"Assinatura de convênio entre DER e prefeituras
Local: Palácio Guanabara"
150,07/04/2021 11:30,"Assinatura de convênio entre DER e prefeituras
Local: Fábrica do Conhecimento - Paracambi"
151,07/04/2021 10:00,"Lançamento do Paracambi Presente
Local: Fábrica do Conhecimento - Paracambi"
152,06/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
153,05/04/2021 09:00,"Ampliação do programa Segurança Presente em Miguel Pereira
Local: Av. Roberto Silveira, 427 - Miguel Pereira"
154,03/04/2021 10:00,"Inauguração do Hospital Modular de Nova Iguaçu
Local: Av. Governador Roberto Silveira, 1.500 - Centro - Nova Iguaçu"
155,01/04/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
156,31/03/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
157,30/03/2021 09:00,"Despachos internos
Local: Palácio Guanabara"
158,17/03/2021 09:00,Despachos internos.
159,16/03/2021 10:00,"Reunião com o ministro da Infraestrutura, Tarcísio Gomes de Freitas.
Local: Ministério da Infraestrutura, em Brasília."
160,15/03/2021 09:00,Despachos internos.
161,12/03/2021 12:00,"Entrevista coletiva sobre o enfrentamento à Covid-19 no estado.
Local: Palácio Guanabara. Rua Pinheiro Machado, s/n° - Laranjeiras."
162,12/03/2021 10:30,"Reunião com prefeitos (fechada para a imprensa).
Local: Palácio Guanabara. Rua Pinheiro Machado s/n° - Laranjeiras."
163,12/03/2021 09:00,"Encontro com empresários de diversos setores (fechado para a imprensa).
Local: Palácio Guanabara. Rua Pinheiro Machado s/n° - Laranjeiras."
164,11/03/2021 09:00,Despachos internos.
165,09/03/2021 18:00,"Reunião com o ministro da Economia, Paulo Guedes, em Brasília
Local: Ministério da Economia"
166,05/03/2021 18:00,"Governo Presente Baixada
Inauguração da Primeira Casa do Trabalhador da Baixada Fluminense
Local: Faetec Seropédica - Rua Jacimar 099 - Vera Cruz / Seropédica"
167,05/03/2021 16:30,"Governo Presente Baixada
Visita ao núcleo da Escola Villa-Lobos e lançamento dos editais para projetos culturais
Local: Fábrica Brasil Industrial - Rua Ministro Sebastião Lacerda, s/nº - Paracambi"
168,05/03/2021 14:30,"Governo Presente Baixada
Inauguração do Centro Especializado no Atendimento à Mulher (CEAM)
Local: Avenida Joao Evangelista s/nº - Engenheiro Pedreira / Japeri"
169,05/03/2021 12:00,"Governo Presente Baixada
Assinaturas de convênios Emater e instalação de um posto municipal de defesa agropecuária
Local: Rua Tenente Jerônimo Costa - Fluminense / Queimados"
170,05/03/2021 10:30,"Governo Presente Baixada
Início das obras de revitalização da RJ-099
Local: RJ-099 / Itaguaí"
171,04/03/2021 17:00,"Governo Presente Baixada
Visita à nova Estação de Tratamento de Água de Campos Elíseos
Local: Reservatório do Morro do Motocross – Avenida Osvaldo de Andrade – Jardim Primavera – Duque de Caxias"
172,04/03/2021 13:00,"Governo Presente Baixada
Inauguração do Restaurante do Povo de Duque de Caxias
Local: Rua Frei Fidélis 501 - Centro"
173,04/03/2021 11:30,"Governo Presente Baixada
Entrega de cheque e lançamento de nova linha de crédito do AgroFundo / Entrega do Selo PET Friendly
Local: Clube Agrícola de Cachoeira Grande – Magé"
174,04/03/2021 10:30,"Governo Presente Baixada
Visita à Casa de Saúde de Magé
Local: Prefeitura de Magé - Praça Dr. Nilo Peçanha s/nº"
175,03/03/2021 11:30,"Governo Presente Baixada
Inauguração do Núcleo da Fundação para a Infância e Adolescência - FIA
Local: Rua José Martins, s/n - Bairro Frigorífico - Nilópolis"
176,03/03/2021 09:00,"Governo Presente Baixada
Anúncio de transferência de recursos para Mesquita seguido de visita a unidades de saúde
Local: Rua Arthur Oliveira Vechi 120, Centro"
177,02/03/2021 17:00,"Governo Presente na Baixada
Inauguração das obras de reforma e ampliação do Terminal Rodoviário de Nova Iguaçu
Local: Av. Mal. Floriano Peixoto 2.630 – Chacrinha"
178,02/03/2021 16:00,"Governo Presente na Baixada
Visita ao Hospital Modular de Nova Iguaçu
Local: Av. Governador Roberto Silveira 1.500 – Centro"
179,02/03/2021 09:00,"Governo Presente na Baixada
Fórum de Prefeitos e Secretários da Baixada Fluminense
Local: Firjan Nova Iguaçu - Rua Gérson Chernichard 1.321 - Nossa Sra. das Graças"
180,01/03/2021 09:30,"Lançamento do Programa Palácios do Povo.
Local: Palácio das Laranjeiras – Rua Paulo César de Andrade 407 - Laranjeiras."
181,01/03/2021 07:00,"Lançamento oficial da festa dos 90 anos do Cristo Redentor.
Local: Santuário Cristo Redentor."
182,26/02/2021 10:00,"Lançamento do Programa de Segurança Hídrica (Prosegh).
Local: Palácio Guanabara - Rua Pinheiro Machado s/n° - Laranjeiras."
183,25/02/2021 11:30,"Inauguração de unidade Sine em Niterói.
Local: Avenida Feliciano Sodré 43, no Centro."
184,24/02/2021 18:00,"Posse do ministro-chefe da Secretaria-Geral da Presidência da República, Onyx Lorenzoni, em Brasília.
Local: Palácio do Planalto."
185,24/02/2021 16:00,"Reunião com o ministro da Economia, Paulo Guedes, em Brasília.
Local: Ministério da Economia."
186,23/02/2021 12:00,"Reunião com a bancada federal do Rio de Janeiro, em Brasília."
187,19/02/2021 09:00,Despachos internos.
188,18/02/2021 09:00,Despachos internos.
189,17/02/2021 11:00,"Lançamento de editais para profissionais do Carnaval.
Local: Palácio Guanabara - Rua Pinheiro Machado s/n° - Laranjeiras.
Local: Palácio Guanabara - Rua Pinheiro Machado s/n° - Laranjeiras."
190,09/02/2021 14:00,Reuniões em Brasília.
191,05/02/2021 14:00,"Posse do novo presidente do TJ-RJ, desembargador Henrique Carlos de Andrade Figueira.
Local: Tribunal de Justiça, Centro do Rio."
192,04/02/2021 11:00,"Entrega de R$ 2,3 milhões da Faperj a cientistas do IVB e da UFRJ que desenvolvem soro usado no combate à Covid-19.
Local: Palácio Guanabara - Rua Pinheiro Machado s/n° - Laranjeiras."
193,03/02/2021 09:00,Despachos internos.
194,02/02/2021 14:30,"Abertura do ano legislativo
Local: Palácio Tiradentes - Alerj"
195,01/02/2021 09:00,Despachos internos.
196,30/01/2021 17:00,"Final da Taça Libertadores da América.
Local: Estádio do Maracanã."
197,29/01/2021 11:00,"Lançamento do Selo Pet Friendly para bares e restaurantes.
Local: Palácio Guanabara - Rua Pinheiro Machado s/n° - Laranjeiras."
198,28/01/2021 16:00,Solenidade virtual de posse de dirigentes do TRT.
199,28/01/2021 10:00,"Reunião Arco Seguro.
Local: auditório do Centro de Convenções da Firjan (Rua Graça Aranha, número 1 / 2º andar - Centro)."
200,25/01/2021 10:00,"Debate promovido pelo movimento ""Rio de Mãos Dadas""."
201,15/01/2021 10:30,"Posse do novo procurador-geral de Justiça, Luciano Mattos."
202,14/01/2021 18:00,"O governador em exercício Cláudio Castro e o secretário Comte Bittencourt realizam live para anunciar, entre outros benefícios para a Educação, a realização de concurso público do magistério em 2021."
203,12/01/2021 17:00,"Inauguração da Casa do Trabalhador em Petrópolis.
Local: Rua Doutor Porciúncula, 75 - Centro (Rodoviária)."
204,12/01/2021 15:30,"Encontro com empresários em Petrópolis.
Local: Firjan Serrana (Avenida Dom Pedro I, 579 –7 Centro)."
205,12/01/2021 11:30,"Anúncio em Petrópolis das obras de recapeamento da RJ 134, de Pedro do Rio a Posse.
Local: Próximo à Estrada Silveira da Mota 843-745 - Posse."
206,12/01/2021 10:30,"Entregas em Petrópolis de cheques do Agrofundo, de certificado de parceiro da agropecuária e do selo Pet Friendly.
Local: Parque Municipal de Petrópolis - Itaipava (Estrada União Indústria 10.000)."
207,12/01/2021 09:00,"Visita ao conjunto habitacional Granja Disco, em Areal, para lançamento da licitação da ETE, reservatório de água e acesso viário ao local.
Local: Manuel Martins Junior, S/N - Centro de Areal."
208,11/01/2021 18:00,"Cerimônia em homenagem aos profissionais e cidadãos que se dedicaram no enfrentamento à tragédia.
Local: Quartel do Corpo de Bombeiros - Rua Guandu 680 - Pimenteira, Teresópolis."
209,11/01/2021 17:00,"Coletiva de imprensa - Balanço sobre os trabalhos na Região Serrana.
Local: Hotel Alpina - Rua Candido Portinari 837 - Bairro do Golf, em Teresópolis."
210,11/01/2021 14:30,"Fórum com prefeitos e secretários estaduais e da Região Serrana.
Locais: Hotel Alpina e Golf Club - Rua Candido Portinari 837 - Bairro do Golf, em Teresópolis."
